full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost
Javier Manquillo,0,1,65,1597,21,100.8,232,40,37.3,8,43
Jay Rodriguez,8,2,100,2002,34,135,431.4,827,137.8,7,57
Jeff Hendrick,2,2,67,1930,30,213.7,269.8,282,76.5,10,54
Jefferson Lerma,1,2,65,2702,49,189.4,439,169,79.4,4,48
Jeffrey Schlupp,3,1,51,1030,16,101.9,240,266,60.8,4,54
Jeremy Ngakia,0,0,8,440,8,10.7,78,9,9.8,0,40
Jesse Lingard,1,0,32,923,14,278.2,109,297,68.2,1,63
Jetro Willems,2,2,64,1492,24,196,345.4,198,74.1,3,43
Joel Matip,1,0,39,703,5,23,198.2,39,26.2,3,52
Joel Ward,0,1,77,2380,36,117,427,49,59.5,7,43
Joelinton C�ssio Apolin�rio de Lira,2,2,78,2678,46,433.4,330.8,641,140.5,9,55
Johann Berg Gudmundsson,1,1,30,617,7,215.4,118.6,108,44.1,3,59
John Egan,2,1,133,3187,33,25.4,641.4,587,125.4,13,47
John Fleck,5,2,101,2515,30,648.8,527.4,419,159.6,8,47
John Lundstram,5,4,144,2452,29,382.9,502.8,449,133.9,10,46
John McGinn,3,3,84,2312,41,503.3,458.6,499,145.9,6,52
John Stones,0,0,34,1118,16,53,216.4,66,33.7,3,53
Jo�o Filipe Iria Santos Moutinho,1,7,113,3105,36,1200.1,712,122,204,11,53
Jo�o Pedro Cavaco Cancelo,0,0,45,1205,11,287.6,265,141,69.3,5,51
Jonny,2,3,123,2885,35,379.2,543.6,299,122.4,11,55
Jonjo Shelvey,6,2,105,2118,34,597.4,559.4,344,150.4,8,49
Jonny Evans,1,2,128,3384,41,131.9,755.2,325,121.4,13,53
Jordan Ayew,9,3,132,3148,45,445.6,597.4,885,192.4,12,51
Jordan Henderson,4,5,116,2234,14,425.9,582.6,275,128.5,16,52
Jordan Pickford,0,0,117,3420,56,13,755.6,0,76.7,9,52
Jorge Luiz Frello Filho,4,3,92,2376,40,422.4,600,158,118.4,6,49
Joseph Gomez,0,0,93,1999,16,105.7,390.6,12,50.9,12,53
Joseph Willock,1,1,41,838,16,165.9,176.8,212,55.2,1,47
Josh Brownhill,0,0,21,805,10,58.5,101.2,49,20.8,4,48
Joshua King,6,5,99,2010,37,412.7,435.8,506,135.1,4,61
Jos� Holebas,0,1,21,1022,28,208.4,171.4,62,44.1,2,46
Angelino,0,1,11,422,7,164,92.6,58,31.6,0,46
Jota,0,1,17,329,5,56.9,47,73,17.3,2,57
Jos� Reina,0,0,41,1080,20,10,289.4,0,30,2,42
Josip Drmic,1,0,26,636,13,67.3,59.6,231,35.3,0,53
Juan Mata,0,2,38,747,8,293.9,109.2,130,53.4,4,61
Junior Stanislas,3,1,42,706,17,185.4,179,241,60.7,1,58
Kasper Schmeichel,0,0,156,3420,41,30,863.4,2,89.6,13,55
Keinan Davis,0,1,25,534,7,71.7,27.8,212,29.9,1,42
Kelechi Iheanacho,5,4,64,953,9,204.2,288.2,603,109.4,3,57
Kenny McLean,1,1,77,2965,63,423.9,505.8,274,120.4,5,48
Kepa Arrizabalaga,0,0,90,2970,47,0,503.6,0,50.2,8,54
Kevin De Bruyne,13,23,251,2790,22,1990.8,1322.2,1005,432.1,18,106
Kevin Long,0,0,21,562,5,1.3,104.8,24,13,2,43
Kieran Tierney,1,2,42,986,16,121.1,201.8,73,39.8,2,53
Kortney Hause,1,0,34,1544,34,33,352.8,248,63.4,2,44
Kurt Zouma,0,0,62,2343,37,40.1,518,162,71.7,7,47
Kyle Walker,1,4,114,2392,24,394.4,435.6,169,100.1,12,57
Kyle Walker-Peters,0,1,32,944,12,108.6,168.2,48,32.2,2,44
Leander Dendoncker,4,0,100,2790,34,160.6,529.2,282,96.8,11,44
Leandro Trossard,5,5,104,2004,34,585.4,411.4,540,153.2,4,58
Leighton Baines,0,1,14,400,8,123.8,81.8,5,21.2,0,49
Lewis Cook,0,1,40,1340,30,183.1,187.8,68,43.8,2,50
Lewis Dunk,3,3,128,3230,50,171.8,825.6,469,146.8,9,48
Lloyd Kelly,0,0,11,638,15,28.4,73.4,20,12.2,1,44
Lucas Digne,0,8,120,3031,49,1112,743,293,215,9,59
Lucas Rodrigues Moura da Silva,4,5,100,2235,29,477.1,494.6,751,172.1,6,70
Lucas Torreira,1,1,46,1501,23,207.1,281.8,207,69.7,3,47
Luka Milivojevic,3,1,81,2510,38,499.1,460,190,114.9,7,67
Lukas Rupp,0,0,19,692,18,109.1,70.2,88,26.4,1,44
Lukasz Fabianski,0,0,83,2117,34,0,531.2,0,53.2,5,49
Luke Freeman,0,0,13,360,5,77.4,46.2,25,14.9,1,50
Luke Shaw,0,0,67,1730,15,321.2,344.2,187,85.1,8,54
Lys Mousset,6,4,84,1223,15,163.1,303,530,98.1,3,43
Mahmoud Ahmed Ibrahim Hassan,6,2,98,1936,29,303.7,422.4,741,145.7,6,52
Mamadou Sakho,0,0,11,929,21,15.9,179.2,6,20.2,0,50
Manuel Lanzini,0,3,50,1370,30,464.8,219,281,96.5,2,61
