full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Jairo Riedewald,0,0,22,761,9,47.1,117,27,19.1,0,45,6027,Jairo Riedewald,747,0.046988671,0.210897446,3,2,0,0.046988671,1.32526215,1.193236528
Jamaal Lascelles,1,0,73,2076,31,28.1,403,125,55.7,8,42,766,Jamaal Lascelles,2084,0.441191585,0.14197477,9,2,5,0.441191585,2.998541767,2.853571115
Jamal Lewis,1,0,48,2301,56,262.2,439,130,83.3,3,44,7691,Jamal Lewis,2311,0.348726461,1.011701008,9,15,4,0.348726461,4.066843003,2.890742601
James Justin,0,1,35,1010,14,195,240.6,61,49.6,4,47,7753,James Justin,1005,0.267881128,1.079851244,7,12,1,0.267881128,4.534260921,3.331790112
James Maddison,6,5,125,2624,26,1246.4,642.4,702,259.2,10,73,6818,James Maddison,2632,5.021774916,5.768516241,74,79,4,5.021774916,14.3790017,8.763976753
James McArthur,0,4,92,3091,38,486.6,586.6,421,149.6,11,52,633,James McArthur,3145,1.805841227,2.996064655,28,34,6,1.805841227,7.98980388,4.762050416
James McCarthy,0,0,41,1668,29,268.3,268.8,80,61.8,2,42,589,James McCarthy,1641,0.415182526,1.398389746,12,17,9,0.415182526,3.684040502,2.971497422
James Milner,2,2,49,924,9,177.1,237.2,100,51.4,4,53,489,James Milner,895,2.164733507,0.934652116,12,11,4,0.642395802,6.646241307,5.740981162
James Tarkowski,2,3,143,3420,50,167.1,919.8,410,149.9,15,55,1665,James Tarkowski,3420,2.621869174,3.587190253,21,15,10,2.621869174,3.144728767,2.991728919
James Tomkins,1,1,48,1582,23,27.7,384,121,53.3,3,49,530,James Tomkins,1589,1.054326991,0.118945889,9,2,5,1.054326991,2.64926759,2.5303217
James Ward-Prowse,5,4,117,3420,60,989.9,864.6,548,240.7,9,57,843,James Ward-Prowse,3420,7.061390931,5.76154747,57,61,9,4.777884329,13.29220022,9.146257374
